City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Cidreira,BR,2020-06-22 01:14:47,-30.18,-50.21,68.22,85,59,6.64
266,Half Moon Bay,US,2020-06-22 01:14:47,37.46,-122.43,71.01,87,90,6.93
267,Lagoa,PT,2020-06-22 01:14:47,39.05,-27.98,66.2,86,0,19.64
268,Murgab,TM,2020-06-22 01:14:48,37.5,61.97,78.8,24,75,9.17
269,Tonota,BW,2020-06-22 01:14:48,-21.48,27.48,47.82,52,0,3.15
270,Papar,MY,2020-06-22 01:14:48,5.73,115.93,84.2,79,20,2.24
271,Korla,CN,2020-06-22 01:14:48,41.76,86.15,68.0,91,0,8.5
272,Nampa,US,2020-06-22 01:14:49,43.54,-116.56,84.2,30,1,9.17
273,Pontes E Lacerda,BR,2020-06-22 01:10:47,-15.23,-59.34,71.85,66,0,2.37
274,Kodiak,US,2020-06-22 01:14:49,57.79,-152.41,53.6,81,90,13.87
275,San Pedro De Macoris,DO,2020-06-22 01:14:50,18.46,-69.3,84.99,83,40,7.85
276,Yaan,NG,2020-06-22 01:14:50,7.38,8.57,71.06,97,100,7.94
277,Rapid Valley,US,2020-06-22 01:14:50,44.06,-103.15,73.4,46,40,12.75
278,Rivne,UA,2020-06-22 01:14:51,50.62,26.23,63.0,98,53,6.46
279,Isangel,VU,2020-06-22 01:14:51,-19.55,169.27,78.8,74,40,11.41
280,Pangnirtung,CA,2020-06-22 01:14:51,66.15,-65.71,47.93,58,96,2.8
281,Kahului,US,2020-06-22 01:14:52,20.89,-156.47,89.6,40,20,17.22
282,Yar-Sale,RU,2020-06-22 01:14:52,66.83,70.83,42.42,90,100,15.17
283,Vardo,NO,2020-06-22 01:14:52,70.37,31.11,44.96,83,36,11.52
284,Shache,CN,2020-06-22 01:14:53,38.42,77.24,77.36,16,0,7.38
285,Salalah,OM,2020-06-22 01:14:53,17.02,54.09,82.4,88,75,3.36
286,Mapiripan,CO,2020-06-22 01:14:54,2.89,-72.13,75.24,92,98,2.42
287,Broken Hill,AU,2020-06-22 01:14:54,-31.95,141.43,51.8,76,90,20.8
288,Namibe,AO,2020-06-22 01:14:54,-15.2,12.15,67.57,64,0,1.68
289,Mehran,IR,2020-06-22 01:14:55,33.12,46.16,59.0,58,0,2.24
290,Fort Nelson,CA,2020-06-22 01:14:55,58.81,-122.7,64.4,52,75,3.36
291,Guanica,PR,2020-06-22 01:14:55,17.97,-66.91,84.99,76,0,1.99
292,Manaus,BR,2020-06-22 01:14:55,-3.1,-60.02,82.4,78,0,2.24
293,Lebu,CL,2020-06-22 01:14:56,-37.62,-73.65,50.86,84,97,17.67
294,Babra,IN,2020-06-22 01:14:56,21.85,71.3,82.49,76,100,12.44
